date,wizardingworld
2017/11/15,57
2017/11/16,56
2017/11/17,84
2017/11/18,49
2017/11/19,68
2017/11/20,65
2017/11/21,48
2017/11/22,49
2017/11/23,58
2017/11/24,73
2017/11/25,66
2017/11/26,51
2017/11/27,81
2017/11/28,44
2017/11/29,55
2017/11/30,47
2017/12/1,66
2017/12/2,63
2017/12/3,39
2017/12/4,62
2017/12/5,47
2017/12/6,61
2017/12/7,58
2017/12/8,60
2017/12/9,37
2017/12/10,68
2017/12/11,51
2017/12/12,64
2017/12/13,55
2017/12/14,49
2017/12/15,62
2017/12/16,89
2017/12/17,87
2017/12/18,68
2017/12/19,62
2017/12/20,51
2017/12/21,55
2017/12/22,36
2017/12/23,89
2017/12/24,55
2017/12/25,100
2017/12/26,86
2017/12/27,79
2017/12/28,82
2017/12/29,67
2017/12/30,81
2017/12/31,73
2018/1/1,89
2018/1/2,90
2018/1/3,83
2018/1/4,55
2018/1/5,50
2018/1/6,90
2018/1/7,85
2018/1/8,70
2018/1/9,84
2018/1/10,55
2018/1/11,49
2018/1/12,62
2018/1/13,54
2018/1/14,44
2018/1/15,73
2018/1/16,62
2018/1/17,65
2018/1/18,47
2018/1/19,67
2018/1/20,56
2018/1/21,58
2018/1/22,56
2018/1/23,56
2018/1/24,42
2018/1/25,53
2018/1/26,65
2018/1/27,84
2018/1/28,76
2018/1/29,59
2018/1/30,44
2018/1/31,54
2018/2/1,38
2018/2/2,43
2018/2/3,37
2018/2/4,52
2018/2/5,70
2018/2/6,50
2018/2/7,74
2018/2/8,49
2018/2/9,67
2018/2/10,58
2018/2/11,76
2018/2/12,51
2018/2/13,36
2018/2/14,59
2018/2/15,29
2018/2/16,50
2018/2/17,40
2018/2/18,64
2018/2/19,60
2018/2/20,54
2018/2/21,52
2018/2/22,54
2018/2/23,38
2018/2/24,57
2018/2/25,51
2018/2/26,50
2018/2/27,47
2018/2/28,49
2018/3/1,51
2018/3/2,44
2018/3/3,71
2018/3/4,72
2018/3/5,49
2018/3/6,64
2018/3/7,64
2018/3/8,39
2018/3/9,16
2018/3/10,65
2018/3/11,65
2018/3/12,82
2018/3/13,92
2018/3/14,100
2018/3/15,76
2018/3/16,64
2018/3/17,70
2018/3/18,78
2018/3/19,66
2018/3/20,63
2018/3/21,71
2018/3/22,59
2018/3/23,37
2018/3/24,67
2018/3/25,63
2018/3/26,53
2018/3/27,43
2018/3/28,52
2018/3/29,60
2018/3/30,35
2018/3/31,60
2018/4/1,58
2018/4/2,73
2018/4/3,41
2018/4/4,55
2018/4/5,39
2018/4/6,42
2018/4/7,50
2018/4/8,36
2018/4/9,56
2018/4/10,45
2018/4/11,56
2018/4/12,44
2018/4/13,58
2018/4/14,39
2018/4/15,34
2018/4/16,45
2018/4/17,29
2018/4/18,26
2018/4/19,34
2018/4/20,37
2018/4/21,50
2018/4/22,50
2018/4/23,41
2018/4/24,54
2018/4/25,42
2018/4/26,52
2018/4/27,57
2018/4/28,30
2018/4/29,76
2018/4/30,52
2018/5/1,50
2018/5/2,46
2018/5/3,58
2018/5/4,67
2018/5/5,51
2018/5/6,57
2018/5/7,51
2018/5/8,44
2018/5/9,47
2018/5/10,48
2018/5/11,49
2018/5/12,51
2018/5/13,75
2018/5/14,53
2018/5/15,43
2018/5/16,81
2018/5/17,66
2018/5/18,45
2018/5/19,35
2018/5/20,66
2018/5/21,53
2018/5/22,55
2018/5/23,62
2018/5/24,53
2018/5/25,44
2018/5/26,44
2018/5/27,67
2018/5/28,84
2018/5/29,44
2018/5/30,57
2018/5/31,61
2018/6/1,55
2018/6/2,48
2018/6/3,58
2018/6/4,61
2018/6/5,46
2018/6/6,44
2018/6/7,53
2018/6/8,54
2018/6/9,49
2018/6/10,97
2018/6/11,51
2018/6/12,30
2018/6/13,41
2018/6/14,40
