,date,searches
124,2019-11-02,99
125,2019-11-03,98
126,2019-11-04,88
127,2019-11-05,87
128,2019-11-06,96
129,2019-11-07,88
130,2019-11-08,88
131,2019-11-09,98
132,2019-11-10,94
133,2019-11-11,91
134,2019-11-12,82
135,2019-11-13,78
136,2019-11-14,78
137,2019-11-15,78
138,2019-11-16,91
139,2019-11-17,92
140,2019-11-18,79
141,2019-11-19,83
142,2019-11-20,76
143,2019-11-21,82
144,2019-11-22,84
145,2019-11-23,90
146,2019-11-24,93
147,2019-11-25,78
148,2019-11-26,75
149,2019-11-27,78
150,2019-11-28,77
151,2019-11-29,80
152,2019-11-30,83
153,2019-12-01,92
154,2019-12-02,78
155,2019-12-03,79
156,2019-12-04,77
157,2019-12-05,77
158,2019-12-06,80
159,2019-12-07,89
160,2019-12-08,91
161,2019-12-09,92
162,2019-12-10,79
163,2019-12-11,81
164,2019-12-12,79
165,2019-12-13,84
166,2019-12-14,88
167,2019-12-15,95
168,2019-12-16,86
169,2019-12-17,82
170,2019-12-18,78
171,2019-12-19,82
172,2019-12-20,83
173,2019-12-21,91
174,2019-12-22,89
175,2019-12-23,92
176,2019-12-24,88
177,2019-12-25,91
178,2019-12-26,97
179,2019-12-27,100
180,2019-12-28,96
181,2019-12-29,96
182,2019-12-30,96
183,2019-12-31,89
0,2020-01-01,77
1,2020-01-02,87
2,2020-01-03,85
3,2020-01-04,86
4,2020-01-05,79
5,2020-01-06,76
6,2020-01-07,74
7,2020-01-08,71
8,2020-01-09,70
9,2020-01-10,72
10,2020-01-11,82
11,2020-01-12,78
12,2020-01-13,64
13,2020-01-14,67
14,2020-01-15,79
15,2020-01-16,72
16,2020-01-17,71
17,2020-01-18,79
18,2020-01-19,77
19,2020-01-20,71
20,2020-01-21,69
21,2020-01-22,67
22,2020-01-23,66
23,2020-01-24,67
24,2020-01-25,72
25,2020-01-26,70
26,2020-01-27,65
27,2020-01-28,64
28,2020-01-29,64
29,2020-01-30,61
30,2020-01-31,68
31,2020-02-01,70
32,2020-02-02,66
33,2020-02-03,62
34,2020-02-04,57
35,2020-02-05,61
36,2020-02-06,60
37,2020-02-07,63
38,2020-02-08,67
39,2020-02-09,67
40,2020-02-10,64
41,2020-02-11,60
42,2020-02-12,61
43,2020-02-13,60
44,2020-02-14,60
45,2020-02-15,64
46,2020-02-16,67
47,2020-02-17,63
48,2020-02-18,61
49,2020-02-19,62
50,2020-02-20,61
51,2020-02-21,60
52,2020-02-22,68
53,2020-02-23,64
54,2020-02-24,65
55,2020-02-25,64
56,2020-02-26,61
57,2020-02-27,61
58,2020-02-28,58
59,2020-02-29,65
60,2020-03-01,67
61,2020-03-02,60
62,2020-03-03,58
63,2020-03-04,60
64,2020-03-05,59
65,2020-03-06,64
66,2020-03-07,65
67,2020-03-08,63
68,2020-03-09,59
69,2020-03-10,58
70,2020-03-11,61
71,2020-03-12,60
72,2020-03-13,62
73,2020-03-14,68
74,2020-03-15,72
75,2020-03-16,75
76,2020-03-17,78
77,2020-03-18,80
78,2020-03-19,74
79,2020-03-20,73
80,2020-03-21,80
81,2020-03-22,82
82,2020-03-23,86
83,2020-03-24,90
84,2020-03-25,87
85,2020-03-26,98
86,2020-03-27,83
87,2020-03-28,69
88,2020-03-29,97
89,2020-03-30,97
90,2020-03-31,99
91,2020-04-01,88
92,2020-04-02,83
93,2020-04-03,96
94,2020-04-04,87
95,2020-04-05,89
96,2020-04-06,95
97,2020-04-07,94
98,2020-04-08,97
99,2020-04-09,91
100,2020-04-10,90
101,2020-04-11,93
102,2020-04-12,89
103,2020-04-13,97
104,2020-04-14,100
105,2020-04-15,98
106,2020-04-16,94
107,2020-04-17,94
108,2020-04-18,85
109,2020-04-19,91
110,2020-04-20,91
111,2020-04-21,95
112,2020-04-22,93
113,2020-04-23,91
114,2020-04-24,84
115,2020-04-25,85
116,2020-04-26,89
117,2020-04-27,94
118,2020-04-28,96
119,2020-04-29,98
120,2020-04-30,95
121,2020-05-01,86
122,2020-05-02,77
123,2020-05-03,87
124,2020-05-04,99
125,2020-05-05,95
126,2020-05-06,96
127,2020-05-07,98
128,2020-05-08,87
129,2020-05-09,81
130,2020-05-10,83
131,2020-05-11,92
132,2020-05-12,95
133,2020-05-13,94
134,2020-05-14,85
135,2020-05-15,84
136,2020-05-16,82
137,2020-05-17,80
138,2020-05-18,83
139,2020-05-19,90
140,2020-05-20,89
141,2020-05-21,84
142,2020-05-22,82
143,2020-05-23,83
144,2020-05-24,83
145,2020-05-25,85
146,2020-05-26,89
147,2020-05-27,89
148,2020-05-28,90
149,2020-05-29,84
150,2020-05-30,86
151,2020-05-31,84
152,2020-06-01,83
153,2020-06-02,86
154,2020-06-03,91
155,2020-06-04,95
156,2020-06-05,90
157,2020-06-06,85
158,2020-06-07,83
159,2020-06-08,87
160,2020-06-09,87
161,2020-06-10,88
162,2020-06-11,84
163,2020-06-12,80
164,2020-06-13,78
165,2020-06-14,77
166,2020-06-15,77
167,2020-06-16,80
168,2020-06-17,79
169,2020-06-18,75
170,2020-06-19,78
171,2020-06-20,74
172,2020-06-21,70
173,2020-06-22,75
174,2020-06-23,73
