date,searches,source
2017-06-22,0,harrypotterwiki
2017-06-23,0,harrypotterwiki
2017-06-24,0,harrypotterwiki
2017-06-25,0,harrypotterwiki
2017-06-26,0,harrypotterwiki
2017-06-27,0,harrypotterwiki
2017-06-28,0,harrypotterwiki
2017-06-29,0,harrypotterwiki
2017-06-30,0,harrypotterwiki
2017-07-01,60,harrypotterwiki
2017-07-02,100,harrypotterwiki
2017-07-03,22,harrypotterwiki
2017-07-04,0,harrypotterwiki
2017-07-05,23,harrypotterwiki
2017-07-06,0,harrypotterwiki
2017-07-07,25,harrypotterwiki
2017-07-08,0,harrypotterwiki
2017-07-09,0,harrypotterwiki
2017-07-10,0,harrypotterwiki
2017-07-11,0,harrypotterwiki
2017-07-12,0,harrypotterwiki
2017-07-13,0,harrypotterwiki
2017-07-14,0,harrypotterwiki
2017-07-15,24,harrypotterwiki
2017-07-16,0,harrypotterwiki
2017-07-17,0,harrypotterwiki
2017-07-18,0,harrypotterwiki
2017-07-19,33,harrypotterwiki
2017-07-20,0,harrypotterwiki
2017-07-21,0,harrypotterwiki
2017-07-22,0,harrypotterwiki
2017-07-23,0,harrypotterwiki
2017-07-24,0,harrypotterwiki
2017-07-25,0,harrypotterwiki
2017-07-26,0,harrypotterwiki
2017-07-27,0,harrypotterwiki
2017-07-28,0,harrypotterwiki
2017-07-29,0,harrypotterwiki
2017-07-30,0,harrypotterwiki
2017-07-31,0,harrypotterwiki
2017-08-01,0,harrypotterwiki
2017-08-02,0,harrypotterwiki
2017-08-03,0,harrypotterwiki
2017-08-04,0,harrypotterwiki
2017-08-05,0,harrypotterwiki
2017-08-06,0,harrypotterwiki
2017-08-07,0,harrypotterwiki
2017-08-08,0,harrypotterwiki
2017-08-09,0,harrypotterwiki
2017-08-10,0,harrypotterwiki
2017-08-11,0,harrypotterwiki
2017-08-12,0,harrypotterwiki
2017-08-13,25,harrypotterwiki
2017-08-14,23,harrypotterwiki
2017-08-15,0,harrypotterwiki
2017-08-16,0,harrypotterwiki
2017-08-17,22,harrypotterwiki
2017-08-18,0,harrypotterwiki
2017-08-19,0,harrypotterwiki
2017-08-20,0,harrypotterwiki
2017-08-21,56,harrypotterwiki
2017-08-22,0,harrypotterwiki
2017-08-23,30,harrypotterwiki
2017-08-24,79,harrypotterwiki
2017-08-25,0,harrypotterwiki
2017-08-26,0,harrypotterwiki
2017-08-27,0,harrypotterwiki
2017-08-28,0,harrypotterwiki
2017-08-29,40,harrypotterwiki
2017-08-30,37,harrypotterwiki
2017-08-31,0,harrypotterwiki
2017-09-01,38,harrypotterwiki
2017-09-02,0,harrypotterwiki
2017-09-03,0,harrypotterwiki
2017-09-04,0,harrypotterwiki
2017-09-05,0,harrypotterwiki
2017-09-06,0,harrypotterwiki
2017-09-07,0,harrypotterwiki
2017-09-08,0,harrypotterwiki
2017-09-09,0,harrypotterwiki
2017-09-10,0,harrypotterwiki
2017-09-11,38,harrypotterwiki
2017-09-12,77,harrypotterwiki
2017-09-13,19,harrypotterwiki
2017-09-14,0,harrypotterwiki
2017-09-15,0,harrypotterwiki
2017-09-16,42,harrypotterwiki
2017-09-17,0,harrypotterwiki
2017-09-18,0,harrypotterwiki
2017-09-19,0,harrypotterwiki
2017-09-20,0,harrypotterwiki
2017-09-21,21,harrypotterwiki
2017-09-22,0,harrypotterwiki
2017-09-23,61,harrypotterwiki
2017-09-24,0,harrypotterwiki
2017-09-25,0,harrypotterwiki
2017-09-26,0,harrypotterwiki
2017-09-27,0,harrypotterwiki
2017-09-28,0,harrypotterwiki
2017-09-29,0,harrypotterwiki
2017-09-30,0,harrypotterwiki
2017-10-01,0,harrypotterwiki
2017-10-02,0,harrypotterwiki
2017-10-03,0,harrypotterwiki
2017-10-04,47,harrypotterwiki
