date,harrypotterwiki,hogwartsishere,jkrowling,harrypotterlexicon,mugglenet,pottermore,wizardingworld
2017-06-08,0,58,0,0,0,22,50
2017-06-09,0,0,0,0,0,20,66
2017-06-10,31,0,0,76,0,22,49
2017-06-11,34,0,0,0,31,26,34
2017-06-12,0,0,0,0,0,21,47
2017-06-13,0,23,0,0,0,19,46
2017-06-14,0,27,0,0,0,19,57
2017-06-15,0,0,0,0,0,23,49
2017-06-16,35,0,0,0,15,26,45
2017-06-17,0,0,0,0,38,25,67
2017-06-18,0,0,0,0,0,25,54
2017-06-19,0,0,0,0,0,21,54
2017-06-20,0,0,0,0,25,20,51
2017-06-21,62,0,0,0,15,21,40
2017-06-22,0,0,64,34,18,22,67
2017-06-23,0,0,0,36,0,25,51
2017-06-24,0,0,0,43,0,25,71
2017-06-25,0,0,0,0,0,28,64
2017-06-26,0,0,0,54,0,61,91
2017-06-27,0,0,0,35,35,60,67
2017-06-28,0,39,0,0,0,35,60
2017-06-29,0,0,0,0,0,31,59
2017-06-30,0,0,0,56,0,28,43
2017-07-01,60,0,0,37,23,62,88
2017-07-02,100,0,0,0,0,65,79
2017-07-03,22,20,25,0,0,51,76
2017-07-04,0,0,0,59,23,52,49
2017-07-05,23,0,0,0,46,47,83
2017-07-06,0,57,0,0,46,44,41
2017-07-07,25,28,0,0,47,47,75
2017-07-08,0,0,22,39,62,50,78
2017-07-09,0,0,0,92,73,52,70
2017-07-10,0,0,0,0,0,44,59
2017-07-11,0,0,0,26,0,42,55
2017-07-12,0,0,0,0,30,44,44
2017-07-13,0,0,0,0,68,41,72
2017-07-14,0,0,0,0,0,42,92
2017-07-15,24,0,0,0,35,44,77
2017-07-16,0,0,0,0,0,47,74
2017-07-17,0,0,20,0,30,39,64
2017-07-18,0,0,0,0,0,40,70
2017-07-19,33,0,17,0,0,43,48
2017-07-20,0,0,0,0,0,44,40
2017-07-21,0,0,0,0,0,48,86
2017-07-22,0,0,0,94,0,49,69
2017-07-23,0,30,0,0,0,49,81
2017-07-24,0,33,23,0,0,46,54
2017-07-25,0,0,0,0,0,44,73
2017-07-26,0,0,23,0,0,39,66
2017-07-27,0,16,0,20,0,42,84
2017-07-28,0,52,26,0,0,47,64
2017-07-29,0,0,0,0,0,52,94
2017-07-30,0,0,20,0,0,58,94
2017-07-31,0,68,0,0,0,50,76
2017-08-01,0,60,63,0,0,48,72
2017-08-02,0,0,18,0,0,46,56
2017-08-03,0,0,0,0,0,41,74
